Press Association Reference,Constituency Name,Region,CODE,Electorate 10,Votes 10,Conservative 10,Green 10,Labour 10,Lib Dems 10,Other 10,Plaid 10,SNP 10,UKIP 10,Winner 10,Second Place 10,Third Place 10,Fourth Place 10,Turnout 10,Conservative Vote Share 10,Green Vote Share 10,Labour Vote Share 10,Lib Dems Vote Share 10,Other Vote Share 10,Plaid Vote Share 10,SNP Vote Share 10,UKIP Vote Share 10
268,Glasgow South West,Scotland,S14000035,58191,31781,2084,0,19863,2870,1772,0,5192,0,Labour,SNP,Lib Dems,Conservative,54.6,6.6,0.0,62.5,9.0,5.6,0.0,16.3,0.0
269,Glenrothes,Scotland,S14000036,67765,40501,2922,0,25247,3108,0,0,8799,425,Labour,SNP,Lib Dems,Conservative,59.8,7.2,0.0,62.3,7.7,0.0,0.0,21.7,1.0
270,Gloucester,South West,E14000712,79321,50764,20267,511,17847,9767,564,0,0,1808,Conservative,Labour,Lib Dems,UKIP,64.0,39.9,1.0,35.2,19.2,1.1,0.0,0.0,3.6
271,Gordon,Scotland,S14000037,73420,48775,9111,752,9811,17575,699,0,10827,0,Lib Dems,SNP,Labour,Conservative,66.4,18.7,1.5,20.1,36.0,1.4,0.0,22.2,0.0
272,Gosport,South East,E14000713,72816,46939,24300,573,7944,9887,2739,0,0,1496,Conservative,Lib Dems,Labour,Other,64.5,51.8,1.2,16.9,21.1,5.8,0.0,0.0,3.2
273,Gower,Wales,W07000046,61696,41671,13333,0,16016,7947,963,2760,0,652,Labour,Conservative,Lib Dems,Plaid,67.5,32.0,0.0,38.4,19.1,2.3,6.6,0.0,1.6
274,Grantham & Stamford,East Midlands,E14000714,78008,52799,26552,0,9503,11726,3414,0,0,1604,Conservative,Lib Dems,Labour,Other,67.7,50.3,0.0,18.0,22.2,6.5,0.0,0.0,3.0
275,Gravesham,South East,E14000715,70195,47303,22956,675,13644,6293,1470,0,0,2265,Conservative,Labour,Lib Dems,UKIP,67.4,48.5,1.4,28.8,13.3,3.1,0.0,0.0,4.8
276,Great Grimsby,Yorkshire and the Humber,E14000716,61229,32954,10063,0,10777,7388,2683,0,0,2043,Labour,Conservative,Lib Dems,Other,53.8,30.5,0.0,32.7,22.4,8.1,0.0,0.0,6.2
277,Great Yarmouth,Eastern,E14000717,70315,43057,18571,416,14295,6188,1521,0,0,2066,Conservative,Labour,Lib Dems,UKIP,61.2,43.1,1.0,33.2,14.4,3.5,0.0,0.0,4.8
278,Greenwich & Woolwich,London,E14000718,65489,41188,10109,1054,20262,7498,2265,0,0,0,Labour,Conservative,Lib Dems,Other,62.9,24.5,2.6,49.2,18.2,5.5,0.0,0.0,0.0
279,Guildford,South East,E14000719,77082,55567,29618,0,2812,21836,280,0,0,1021,Conservative,Lib Dems,Labour,UKIP,72.1,53.3,0.0,5.1,39.3,0.5,0.0,0.0,1.8
280,Hackney North & Stoke Newington,London,E14000720,73906,46461,6759,2133,25553,11092,924,0,0,0,Labour,Lib Dems,Conservative,Green,62.9,14.5,4.6,55.0,23.9,2.0,0.0,0.0,0.0
281,Hackney South & Shoreditch,London,E14000721,72841,42858,5800,1493,23888,9600,1426,0,0,651,Labour,Lib Dems,Conservative,Green,58.8,13.5,3.5,55.7,22.4,3.3,0.0,0.0,1.5
282,Halesowen & Rowley Regis,West Midlands,E14000722,63693,43979,18115,0,16092,6515,433,0,0,2824,Conservative,Labour,Lib Dems,UKIP,69.0,41.2,0.0,36.6,14.8,1.0,0.0,0.0,6.4
283,Halifax,Yorkshire and the Humber,E14000723,70380,43555,14806,0,16278,8335,3482,0,0,654,Labour,Conservative,Lib Dems,Other,61.9,34.0,0.0,37.4,19.1,8.0,0.0,0.0,1.5
284,Haltemprice & Howden,Yorkshire and the Humber,E14000724,70254,48737,24486,669,7630,12884,3068,0,0,0,Conservative,Lib Dems,Labour,Other,69.4,50.2,1.4,15.7,26.4,6.3,0.0,0.0,0.0
285,Halton,North West,E14000725,68846,41338,8339,647,23843,5718,1563,0,0,1228,Labour,Conservative,Lib Dems,Other,60.0,20.2,1.6,57.7,13.8,3.8,0.0,0.0,3.0
286,Hammersmith,London,E14000726,72348,47452,17261,696,20810,7567,567,0,0,551,Labour,Conservative,Lib Dems,Green,65.6,36.4,1.5,43.9,15.9,1.2,0.0,0.0,1.2
287,Hampshire East,South East,E14000680,72262,51317,29137,0,4043,15640,1020,0,0,1477,Conservative,Lib Dems,Labour,UKIP,71.0,56.8,0.0,7.9,30.5,2.0,0.0,0.0,2.9
288,Hampshire North East,South East,E14000844,72196,52939,32075,0,5173,13478,0,0,0,2213,Conservative,Lib Dems,Labour,UKIP,73.3,60.6,0.0,9.8,25.5,0.0,0.0,0.0,4.2
289,Hampshire North West,South East,E14000857,76695,53292,31072,0,6980,12489,0,0,0,2751,Conservative,Lib Dems,Labour,UKIP,69.5,58.3,0.0,13.1,23.4,0.0,0.0,0.0,5.2
290,Hampstead & Kilburn,London,E14000727,80373,52822,17290,759,17332,16491,542,0,0,408,Labour,Conservative,Lib Dems,Green,65.7,32.7,1.4,32.8,31.2,1.0,0.0,0.0,0.8
291,Harborough,East Midlands,E14000728,77917,54945,26894,0,6981,17097,2511,0,0,1462,Conservative,Lib Dems,Labour,Other,70.5,48.9,0.0,12.7,31.1,4.6,0.0,0.0,2.7
292,Harlow,Eastern,E14000729,67583,43878,19691,0,14766,5990,1840,0,0,1591,Conservative,Labour,Lib Dems,Other,64.9,44.9,0.0,33.7,13.7,4.2,0.0,0.0,3.6
293,Harrogate & Knaresborough,Yorkshire and the Humber,E14000730,74760,53134,24305,0,3413,23266,1094,0,0,1056,Conservative,Lib Dems,Labour,Other,71.1,45.7,0.0,6.4,43.8,2.1,0.0,0.0,2.0
294,Harrow East,London,E14000731,70510,48006,21435,793,18032,6850,0,0,0,896,Conservative,Labour,Lib Dems,UKIP,68.1,44.7,1.7,37.6,14.3,0.0,0.0,0.0,1.9
295,Harrow West,London,E14000732,68554,46116,16968,625,20111,7458,0,0,0,954,Labour,Conservative,Lib Dems,UKIP,67.3,36.8,1.4,43.6,16.2,0.0,0.0,0.0,2.1
296,Hartlepool,North East,E14000733,68927,38242,10758,0,16267,6533,2002,0,0,2682,Labour,Conservative,Lib Dems,UKIP,55.5,28.1,0.0,42.5,17.1,5.2,0.0,0.0,7.0
297,Harwich & Essex North,Eastern,E14000734,70743,49000,23001,909,9774,11554,1235,0,0,2527,Conservative,Lib Dems,Labour,UKIP,69.3,46.9,1.9,19.9,23.6,2.5,0.0,0.0,5.2
298,Hastings & Rye,South East,E14000735,77030,49814,20468,0,18475,7825,1649,0,0,1397,Conservative,Labour,Lib Dems,Other,64.7,41.1,0.0,37.1,15.7,3.3,0.0,0.0,2.8
299,Havant,South East,E14000736,69662,43903,22433,0,7777,10273,809,0,0,2611,Conservative,Lib Dems,Labour,UKIP,63.0,51.1,0.0,17.7,23.4,1.8,0.0,0.0,5.9
300,Hayes & Harlington,London,E14000737,70231,42637,12553,348,23377,3726,2633,0,0,0,Labour,Conservative,Lib Dems,Other,60.7,29.4,0.8,54.8,8.7,6.2,0.0,0.0,0.0
301,Hazel Grove,North West,E14000738,62300,41981,14114,0,5234,20485,0,0,0,2148,Lib Dems,Conservative,Labour,UKIP,67.4,33.6,0.0,12.5,48.8,0.0,0.0,0.0,5.1
302,Hemel Hempstead,Eastern,E14000739,72752,49471,24721,0,10295,11315,1886,0,0,1254,Conservative,Lib Dems,Labour,Other,68.0,50.0,0.0,20.8,22.9,3.8,0.0,0.0,2.5
303,Hemsworth,Yorkshire and the Humber,E14000740,75542,43840,10662,0,20506,5667,7005,0,0,0,Labour,Conservative,Other,Lib Dems,58.0,24.3,0.0,46.8,12.9,16.0,0.0,0.0,0.0
304,Hendon,London,E14000741,72943,46374,19635,518,19529,5734,0,0,0,958,Conservative,Labour,Lib Dems,UKIP,63.6,42.3,1.1,42.1,12.4,0.0,0.0,0.0,2.1
305,Henley,South East,E14000742,73123,53520,30054,1328,5835,13466,1020,0,0,1817,Conservative,Lib Dems,Labour,UKIP,73.2,56.2,2.5,10.9,25.2,1.9,0.0,0.0,3.4
306,Hereford & Herefordshire South,West Midlands,E14000743,72021,48381,22366,0,3506,19885,986,0,0,1638,Conservative,Lib Dems,Labour,UKIP,67.2,46.2,0.0,7.2,41.1,2.0,0.0,0.0,3.4
307,Herefordshire North,West Midlands,E14000847,66946,47568,24631,1533,3373,14744,586,0,0,2701,Conservative,Lib Dems,Labour,UKIP,71.1,51.8,3.2,7.1,31.0,1.2,0.0,0.0,5.7
308,Hertford & Stortford,Eastern,E14000744,78459,55377,29810,0,7620,14373,1858,0,0,1716,Conservative,Lib Dems,Labour,Other,70.6,53.8,0.0,13.8,26.0,3.4,0.0,0.0,3.1
309,Hertfordshire North East,Eastern,E14000845,72200,50425,26995,875,8291,11801,388,0,0,2075,Conservative,Lib Dems,Labour,UKIP,69.8,53.5,1.7,16.4,23.4,0.8,0.0,0.0,4.1
310,Hertfordshire South West,Eastern,E14000951,78248,56750,30773,0,6526,15853,2148,0,0,1450,Conservative,Lib Dems,Labour,Other,72.5,54.2,0.0,11.5,27.9,3.8,0.0,0.0,2.6
311,Hertsmere,Eastern,E14000745,73057,47270,26476,604,8871,8210,1397,0,0,1712,Conservative,Labour,Lib Dems,UKIP,64.7,56.0,1.3,18.8,17.4,3.0,0.0,0.0,3.6
312,Hexham,North East,E14000746,60360,43483,18795,0,8253,13007,3428,0,0,0,Conservative,Lib Dems,Labour,Other,72.0,43.2,0.0,19.0,29.9,7.9,0.0,0.0,0.0
313,Heywood & Middleton,North West,E14000747,80171,46125,12528,0,18499,10474,3409,0,0,1215,Labour,Conservative,Lib Dems,Other,57.5,27.2,0.0,40.1,22.7,7.4,0.0,0.0,2.6
314,High Peak,East Midlands,E14000748,71458,50337,20587,922,15910,10993,235,0,0,1690,Conservative,Labour,Lib Dems,UKIP,70.4,40.9,1.8,31.6,21.8,0.5,0.0,0.0,3.4
315,Hitchin & Harpenden,Eastern,E14000749,73851,54707,29869,807,7413,14598,357,0,0,1663,Conservative,Lib Dems,Labour,UKIP,74.1,54.6,1.5,13.6,26.7,0.7,0.0,0.0,3.0
316,Holborn & St Pancras,London,E14000750,86563,54649,11134,1480,25198,15256,994,0,0,587,Labour,Lib Dems,Conservative,Green,63.1,20.4,2.7,46.1,27.9,1.8,0.0,0.0,1.1
317,Hornchurch & Upminster,London,E14000751,78547,53390,27469,542,11098,7426,4007,0,0,2848,Conservative,Labour,Lib Dems,Other,68.0,51.4,1.0,20.8,13.9,7.5,0.0,0.0,5.3
318,Hornsey & Wood Green,London,E14000752,78748,55042,9174,1261,18720,25595,292,0,0,0,Lib Dems,Labour,Conservative,Green,69.9,16.7,2.3,34.0,46.5,0.5,0.0,0.0,0.0
319,Horsham,South East,E14000753,77564,55841,29447,570,4189,17987,809,0,0,2839,Conservative,Lib Dems,Labour,UKIP,72.0,52.7,1.0,7.5,32.2,1.4,0.0,0.0,5.1
320,Houghton & Sunderland South,North East,E14000754,68729,38021,8147,0,19137,5292,4423,0,0,1022,Labour,Conservative,Lib Dems,Other,55.3,21.4,0.0,50.3,13.9,11.6,0.0,0.0,2.7
321,Hove,South East,E14000755,71720,49819,18294,2568,16426,11240,85,0,0,1206,Conservative,Labour,Lib Dems,Green,69.5,36.7,5.2,33.0,22.6,0.2,0.0,0.0,2.4
322,Huddersfield,Yorkshire and the Humber,E14000756,66318,40524,11253,1641,15725,10023,1882,0,0,0,Labour,Conservative,Lib Dems,Other,61.1,27.8,4.0,38.8,24.7,4.6,0.0,0.0,0.0
323,Hull East,Yorkshire and the Humber,E14000771,67530,34184,5667,0,16387,7790,1595,0,0,2745,Labour,Lib Dems,Conservative,UKIP,50.6,16.6,0.0,47.9,22.8,4.7,0.0,0.0,8.0
324,Hull North,Yorkshire and the Humber,E14000772,64082,33291,4365,478,13044,12403,1643,0,0,1358,Labour,Lib Dems,Conservative,Other,52.0,13.1,1.4,39.2,37.3,4.9,0.0,0.0,4.1
325,Hull West & Hessle,Yorkshire and the Humber,E14000773,57264,31505,6361,0,13378,7636,2442,0,0,1688,Labour,Lib Dems,Conservative,Other,55.0,20.2,0.0,42.5,24.2,7.8,0.0,0.0,5.4
326,Huntingdon,Eastern,E14000757,83557,54266,26516,652,5982,15697,2161,0,0,3258,Conservative,Lib Dems,Labour,UKIP,64.9,48.9,1.2,11.0,28.9,4.0,0.0,0.0,6.0
327,Hyndburn,North West,E14000758,67221,42672,14441,463,17531,5033,3723,0,0,1481,Labour,Conservative,Lib Dems,Other,63.5,33.8,1.1,41.1,11.8,8.7,0.0,0.0,3.5
328,Ilford North,London,E14000759,72372,47018,21506,572,16102,5966,2001,0,0,871,Conservative,Labour,Lib Dems,Other,65.0,45.7,1.2,34.2,12.7,4.3,0.0,0.0,1.9
329,Ilford South,London,E14000760,86220,51191,14014,1319,25301,8679,746,0,0,1132,Labour,Conservative,Lib Dems,Green,59.4,27.4,2.6,49.4,17.0,1.5,0.0,0.0,2.2
330,Inverclyde,Scotland,S14000038,59209,37512,4502,0,20993,5007,0,0,6577,433,Labour,SNP,Lib Dems,Conservative,63.4,12.0,0.0,56.0,13.3,0.0,0.0,17.5,1.2
331,"Inverness, Nairn, Badenoch & Strathspey",Scotland,S14000039,72528,47086,6278,789,10407,19172,1063,0,8803,574,Lib Dems,Labour,SNP,Conservative,64.9,13.3,1.7,22.1,40.7,2.3,0.0,18.7,1.2
332,Ipswich,Eastern,E14000761,75770,46941,18371,775,16292,8556,1582,0,0,1365,Conservative,Labour,Lib Dems,Other,62.0,39.1,1.7,34.7,18.2,3.4,0.0,0.0,2.9
333,Isle of Wight,South East,E14000762,109922,70264,32810,931,8169,22283,3636,0,0,2435,Conservative,Lib Dems,Labour,Other,63.9,46.7,1.3,11.6,31.7,5.2,0.0,0.0,3.5
334,Islington North,London,E14000763,68119,44554,6339,1348,24276,11875,0,0,0,716,Labour,Lib Dems,Conservative,Green,65.4,14.2,3.0,54.5,26.7,0.0,0.0,0.0,1.6
335,Islington South & Finsbury,London,E14000764,67650,43555,8449,710,18407,14838,450,0,0,701,Labour,Lib Dems,Conservative,Green,64.4,19.4,1.6,42.3,34.1,1.0,0.0,0.0,1.6
336,Islwyn,Wales,W07000077,54866,34684,4854,0,17069,3597,3716,4518,0,930,Labour,Conservative,Plaid,Other,63.2,14.0,0.0,49.2,10.4,10.7,13.0,0.0,2.7
337,Jarrow,North East,E14000765,64350,38784,8002,0,20910,7163,2709,0,0,0,Labour,Conservative,Lib Dems,Other,60.3,20.6,0.0,53.9,18.5,7.0,0.0,0.0,0.0
338,Keighley,Yorkshire and the Humber,E14000766,65893,47692,20003,0,17063,7059,2097,0,0,1470,Conservative,Labour,Lib Dems,Other,72.4,41.9,0.0,35.8,14.8,4.4,0.0,0.0,3.1
339,Kenilworth & Southam,West Midlands,E14000767,64362,48431,25945,568,6949,13393,362,0,0,1214,Conservative,Lib Dems,Labour,UKIP,75.2,53.6,1.2,14.3,27.7,0.7,0.0,0.0,2.5
340,Kensington,London,E14000768,65975,35150,17595,753,8979,6872,197,0,0,754,Conservative,Labour,Lib Dems,UKIP,53.3,50.1,2.1,25.5,19.6,0.6,0.0,0.0,2.1
341,Kettering,East Midlands,E14000769,68824,47328,23247,0,14153,7498,2430,0,0,0,Conservative,Labour,Lib Dems,Other,68.8,49.1,0.0,29.9,15.8,5.1,0.0,0.0,0.0
342,Kilmarnock & Loudoun,Scotland,S14000040,74131,46553,6592,0,24460,3419,0,0,12082,0,Labour,SNP,Conservative,Lib Dems,62.8,14.2,0.0,52.5,7.3,0.0,0.0,26.0,0.0
343,Kingston & Surbiton,London,E14000770,81115,57111,20868,555,5337,28428,473,0,0,1450,Lib Dems,Conservative,Labour,UKIP,70.4,36.5,1.0,9.3,49.8,0.8,0.0,0.0,2.5
344,Kingswood,South West,E14000774,66361,47906,19362,383,16917,8072,1644,0,0,1528,Conservative,Labour,Lib Dems,Other,72.2,40.4,0.8,35.3,16.8,3.4,0.0,0.0,3.2
345,Kirkcaldy & Cowdenbeath,Scotland,S14000041,73534,45802,4258,0,29559,4269,406,0,6550,760,Labour,SNP,Lib Dems,Conservative,62.3,9.3,0.0,64.5,9.3,0.9,0.0,14.3,1.7
346,Knowsley,North West,E14000775,79564,44658,4004,0,31650,5964,1895,0,0,1145,Labour,Lib Dems,Conservative,Other,56.1,9.0,0.0,70.9,13.4,4.2,0.0,0.0,2.6
347,Lagan Valley,Northern Ireland,N06000009,65257,36540,0,0,0,0,36540,0,0,0,Other,Conservative,Conservative,Conservative,56.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
348,Lanark & Hamilton East,Scotland,S14000042,74773,46554,6981,0,23258,5249,670,0,9780,616,Labour,SNP,Conservative,Lib Dems,62.3,15.0,0.0,50.0,11.3,1.4,0.0,21.0,1.3
349,Lancashire West,North West,E14001033,73835,48473,17540,485,21883,6573,217,0,0,1775,Labour,Conservative,Lib Dems,UKIP,65.7,36.2,1.0,45.1,13.6,0.4,0.0,0.0,3.7
350,Lancaster & Fleetwood,North West,E14000776,67379,42701,15404,1888,15071,8167,1151,0,0,1020,Conservative,Labour,Lib Dems,Green,63.4,36.1,4.4,35.3,19.1,2.7,0.0,0.0,2.4
351,Leeds Central,Yorkshire and the Humber,E14000777,81266,37394,7541,0,18434,7789,3630,0,0,0,Labour,Lib Dems,Conservative,Other,46.0,20.2,0.0,49.3,20.8,9.7,0.0,0.0,0.0
352,Leeds East,Yorkshire and the Humber,E14000778,64698,37813,8763,0,19056,6618,3376,0,0,0,Labour,Conservative,Lib Dems,Other,58.4,23.2,0.0,50.4,17.5,8.9,0.0,0.0,0.0
353,Leeds North East,Yorkshire and the Humber,E14000779,67899,47535,15742,0,20287,9310,1354,0,0,842,Labour,Conservative,Lib Dems,Other,70.0,33.1,0.0,42.7,19.6,2.8,0.0,0.0,1.8
354,Leeds North West,Yorkshire and the Humber,E14000780,65399,43483,11550,508,9132,20653,1040,0,0,600,Lib Dems,Conservative,Labour,Other,66.5,26.6,1.2,21.0,47.5,2.4,0.0,0.0,1.4
355,Leeds West,Yorkshire and the Humber,E14000781,67453,38752,7641,1832,16389,9373,2377,0,0,1140,Labour,Lib Dems,Conservative,Other,57.5,19.7,4.7,42.3,24.2,6.1,0.0,0.0,2.9
356,Leicester East,East Midlands,E14000782,72986,47995,11722,733,25804,6817,2194,0,0,725,Labour,Conservative,Lib Dems,Other,65.8,24.4,1.5,53.8,14.2,4.6,0.0,0.0,1.5
357,Leicester South,East Midlands,E14000783,77175,47124,10066,770,21479,12671,1418,0,0,720,Labour,Lib Dems,Conservative,Other,61.1,21.4,1.6,45.6,26.9,3.0,0.0,0.0,1.5
358,Leicester West,East Midlands,E14000784,64900,35819,9728,639,13745,8107,2717,0,0,883,Labour,Conservative,Lib Dems,Other,55.2,27.2,1.8,38.4,22.6,7.6,0.0,0.0,2.5
359,Leicestershire North West,East Midlands,E14000858,71217,51952,23147,0,15636,8639,3396,0,0,1134,Conservative,Labour,Lib Dems,Other,72.9,44.6,0.0,30.1,16.6,6.5,0.0,0.0,2.2
360,Leicestershire South,East Midlands,E14000940,76633,54577,27000,0,11392,11476,2721,0,0,1988,Conservative,Lib Dems,Labour,Other,71.2,49.5,0.0,20.9,21.0,5.0,0.0,0.0,3.6
361,Leigh,North West,E14000785,75903,44332,9284,0,21295,8049,4169,0,0,1535,Labour,Conservative,Lib Dems,Other,58.4,20.9,0.0,48.0,18.2,9.4,0.0,0.0,3.5
362,Lewes,South East,E14000786,68708,50088,18401,729,2508,26048,674,0,0,1728,Lib Dems,Conservative,Labour,UKIP,72.9,36.7,1.5,5.0,52.0,1.3,0.0,0.0,3.4
363,Lewisham Deptford,London,E14000789,67058,41220,5551,2772,22132,9633,1132,0,0,0,Labour,Lib Dems,Conservative,Green,61.5,13.5,6.7,53.7,23.4,2.7,0.0,0.0,0.0
364,Lewisham East,London,E14000787,65926,41719,9850,624,17966,11750,758,0,0,771,Labour,Lib Dems,Conservative,UKIP,63.3,23.6,1.5,43.1,28.2,1.8,0.0,0.0,1.8
365,Lewisham West & Penge,London,E14000788,69022,45028,11489,931,18501,12673,317,0,0,1117,Labour,Lib Dems,Conservative,UKIP,65.2,25.5,2.1,41.1,28.1,0.7,0.0,0.0,2.5
366,Leyton & Wanstead,London,E14000790,63541,40159,8928,562,17511,11095,983,0,0,1080,Labour,Lib Dems,Conservative,UKIP,63.2,22.2,1.4,43.6,27.6,2.4,0.0,0.0,2.7
367,Lichfield,West Midlands,E14000791,72586,51563,28048,0,10230,10365,0,0,0,2920,Conservative,Lib Dems,Labour,UKIP,71.0,54.4,0.0,19.8,20.1,0.0,0.0,0.0,5.7
368,Lincoln,East Midlands,E14000792,73540,45721,17163,0,16105,9256,2193,0,0,1004,Conservative,Labour,Lib Dems,Other,62.2,37.5,0.0,35.2,20.2,4.8,0.0,0.0,2.2
369,Linlithgow & Falkirk East,Scotland,S14000043,80907,51450,6146,0,25634,6589,0,0,13081,0,Labour,SNP,Lib Dems,Conservative,63.6,11.9,0.0,49.8,12.8,0.0,0.0,25.4,0.0
370,Liverpool Riverside,North West,E14000793,74539,38801,4243,1355,22998,8825,706,0,0,674,Labour,Lib Dems,Conservative,Green,52.1,10.9,3.5,59.3,22.7,1.8,0.0,0.0,1.7
371,Liverpool Walton,North West,E14000794,62612,34335,2241,0,24709,4891,1596,0,0,898,Labour,Lib Dems,Conservative,Other,54.8,6.5,0.0,72.0,14.2,4.6,0.0,0.0,2.6
372,Liverpool Wavertree,North West,E14000795,62518,37914,2830,598,20132,12965,499,0,0,890,Labour,Lib Dems,Conservative,UKIP,60.6,7.5,1.6,53.1,34.2,1.3,0.0,0.0,2.3
373,Liverpool West Derby,North West,E14000796,63082,35784,3311,0,22953,4486,3941,0,0,1093,Labour,Lib Dems,Other,Conservative,56.7,9.3,0.0,64.1,12.5,11.0,0.0,0.0,3.1
374,Livingston,Scotland,S14000044,75924,47907,5158,0,23215,5316,1351,0,12424,443,Labour,SNP,Lib Dems,Conservative,63.1,10.8,0.0,48.5,11.1,2.8,0.0,25.9,0.9
375,Llanelli,Wales,W07000045,55637,37461,5381,0,15916,3902,0,11215,0,1047,Labour,Plaid,Conservative,Lib Dems,67.3,14.4,0.0,42.5,10.4,0.0,29.9,0.0,2.8
376,Londonderry East,Northern Ireland,N06000006,63220,34950,0,0,0,0,34950,0,0,0,Other,Conservative,Conservative,Conservative,55.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
377,Loughborough,East Midlands,E14000797,77505,52838,21971,0,18227,9675,2040,0,0,925,Conservative,Labour,Lib Dems,Other,68.2,41.6,0.0,34.5,18.3,3.9,0.0,0.0,1.8
378,Louth & Horncastle,East Midlands,E14000798,77650,50494,25065,0,8760,11194,3292,0,0,2183,Conservative,Lib Dems,Labour,Other,65.0,49.6,0.0,17.3,22.2,6.5,0.0,0.0,4.3
379,Ludlow,West Midlands,E14000799,66632,48732,25720,447,3272,15971,1195,0,0,2127,Conservative,Lib Dems,Labour,UKIP,73.1,52.8,0.9,6.7,32.8,2.5,0.0,0.0,4.4
380,Luton North,Eastern,E14000800,65645,43018,13672,490,21192,4784,1316,0,0,1564,Labour,Conservative,Lib Dems,UKIP,65.5,31.8,1.1,49.3,11.1,3.1,0.0,0.0,3.6
381,Luton South,Eastern,E14000801,65219,42216,12396,366,14725,9567,4187,0,0,975,Labour,Conservative,Lib Dems,Other,64.7,29.4,0.9,34.9,22.7,9.9,0.0,0.0,2.3
382,Macclesfield,North West,E14000802,75370,50059,23503,840,10164,11544,2590,0,0,1418,Conservative,Lib Dems,Labour,Other,66.4,47.0,1.7,20.3,23.1,5.2,0.0,0.0,2.8
383,Maidenhead,South East,E14000803,72844,53720,31937,482,3795,15168,1095,0,0,1243,Conservative,Lib Dems,Labour,UKIP,73.7,59.5,0.9,7.1,28.2,2.0,0.0,0.0,2.3
384,Maidstone & The Weald,South East,E14000804,71041,48928,23491,655,4769,17602,774,0,0,1637,Conservative,Lib Dems,Labour,UKIP,68.9,48.0,1.3,9.7,36.0,1.6,0.0,0.0,3.3
385,Makerfield,North West,E14000805,73813,43771,8210,0,20700,7082,7779,0,0,0,Labour,Conservative,Other,Lib Dems,59.3,18.8,0.0,47.3,16.2,17.8,0.0,0.0,0.0
386,Maldon,Eastern,E14000806,68777,47895,28661,0,6070,9254,1464,0,0,2446,Conservative,Lib Dems,Labour,UKIP,69.6,59.8,0.0,12.7,19.3,3.1,0.0,0.0,5.1
387,Manchester Central,North West,E14000807,90110,39927,4704,915,21059,10620,2022,0,0,607,Labour,Lib Dems,Conservative,Other,44.3,11.8,2.3,52.7,26.6,5.1,0.0,0.0,1.5
388,Manchester Gorton,North West,E14000808,75933,38325,4224,1048,19211,12508,1334,0,0,0,Labour,Lib Dems,Conservative,Other,50.5,11.0,2.7,50.1,32.6,3.5,0.0,0.0,0.0
389,Manchester Withington,North West,E14000809,74371,45031,5005,798,18216,20110,204,0,0,698,Lib Dems,Labour,Conservative,Green,60.5,11.1,1.8,40.5,44.7,0.5,0.0,0.0,1.6
390,Mansfield,East Midlands,E14000810,80069,48395,12741,0,18753,7469,6447,0,0,2985,Labour,Conservative,Lib Dems,Other,60.4,26.3,0.0,38.7,15.4,13.3,0.0,0.0,6.2
391,Meon Valley,South East,E14000811,70488,51238,28818,0,3266,16693,971,0,0,1490,Conservative,Lib Dems,Labour,UKIP,72.7,56.2,0.0,6.4,32.6,1.9,0.0,0.0,2.9
392,Meriden,West Midlands,E14000812,82228,52162,26956,678,10703,9278,3169,0,0,1378,Conservative,Labour,Lib Dems,Other,63.4,51.7,1.3,20.5,17.8,6.1,0.0,0.0,2.6
393,Merthyr Tydfil & Rhymney,Wales,W07000071,54715,32076,2412,0,14007,9951,3213,1621,0,872,Labour,Lib Dems,Other,Conservative,58.6,7.5,0.0,43.7,31.0,10.0,5.1,0.0,2.7
394,Middlesbrough,North East,E14000819,65148,33455,6283,0,15351,6662,3923,0,0,1236,Labour,Lib Dems,Conservative,Other,51.4,18.8,0.0,45.9,19.9,11.7,0.0,0.0,3.7
395,Middlesbrough South & Cleveland East,North East,E14000820,72666,46214,16461,0,18138,7340,2394,0,0,1881,Labour,Conservative,Lib Dems,Other,63.6,35.6,0.0,39.2,15.9,5.2,0.0,0.0,4.1
396,Midlothian,Scotland,S14000045,61387,39242,4661,595,18449,6711,362,0,8100,364,Labour,SNP,Lib Dems,Conservative,63.9,11.9,1.5,47.0,17.1,0.9,0.0,20.6,0.9
397,Milton Keynes North,South East,E14000821,82432,53888,23419,733,14458,11894,1612,0,0,1772,Conservative,Labour,Lib Dems,UKIP,65.4,43.5,1.4,26.8,22.1,3.0,0.0,0.0,3.3
398,Milton Keynes South,South East,E14000822,86559,55333,23034,774,17833,9787,1831,0,0,2074,Conservative,Labour,Lib Dems,UKIP,63.9,41.6,1.4,32.2,17.7,3.3,0.0,0.0,3.7
399,Mitcham & Morden,London,E14000823,65939,43797,11056,381,24722,5202,1579,0,0,857,Labour,Conservative,Lib Dems,Other,66.4,25.2,0.9,56.4,11.9,3.6,0.0,0.0,2.0
400,Mole Valley,South East,E14000824,72297,54324,31263,895,3804,15610,0,0,0,2752,Conservative,Lib Dems,Labour,UKIP,75.1,57.5,1.6,7.0,28.7,0.0,0.0,0.0,5.1
401,Monmouth,Wales,W07000054,64538,46519,22466,587,12041,9026,0,1273,0,1126,Conservative,Labour,Lib Dems,Plaid,72.1,48.3,1.3,25.9,19.4,0.0,2.7,0.0,2.4
402,Montgomeryshire,Wales,W07000063,48730,33813,13976,0,2407,12792,708,2802,0,1128,Conservative,Lib Dems,Plaid,Labour,69.4,41.3,0.0,7.1,37.8,2.1,8.3,0.0,3.3
